,dialogue_id,turns,text,emotion,act
99,48,1,"I feel like I have to reach the standard on a certain thing before I dare to tell others about it. Otherwise, they will feel that they are not up to that level. Then if they talk about it like this and distribute it to me, and then I outsource it, it will be a disaster.",no emotion,no action
100,48,2,"Well, have you really had experience in causing disasters in the past?",no emotion,inquire
101,49,1,"Most of them were actually solved later. For example, I remember one time when I was a senior in high school and I was asked to work as a substitute. I had to eat out. Anyway, I was responsible for counting what everyone wanted and then ordering it from the store. Then it would be available at a certain time. It was delivered and then because there was still money to be collected, that time I checked and found it was not there. After I collected the money from everyone and it was almost delivery time, the store called me and told me that the price of each item was five yuan more than the actual price. And because at that time, everyone seemed to be studying for the test quickly, so everyone was studying on their own, and it was not suitable to disturb everyone. Then I was very nervous. I wanted to say that it was over, should I just do it? My first thought was that I would just advance the money myself, but I asked a friend of mine to come out, and he told me that the matter should be very small, so I just told everyone and no one would mind. Then he helped me talk to the whole class smoothly, so everyone was okay. In fact, no one would complain. I blame myself very much for complaining about this matter, haha, but usually it doesn’t seem to be a real big explosion and there is no way to save it. In the end, there may be at least one time when our team members stayed up late to catch up on the ppt, and I was also responsible for the ppt. They stayed up all night to refinish the draft, and then I changed the final version and uploaded it. The next day, I had to put it on the teaching assistant's computer to report directly. I don't know why when I uploaded it, I uploaded the wrong file to the old one, and we were already sitting there. In the classroom, the next group had to register and we found out that just because I was in charge, I couldn’t be considered entirely in charge. It was just because I happened to be in charge, but they didn’t check it when I uploaded it. Then I felt like it was all me. I said sorry to the teaching assistant after class, and then rushed back to the dormitory. Then I passed the new file over, and then everyone went up to report it. I just said it directly. In fact, it was not entirely my responsibility, and then they also I would say, I'm sorry, we didn't confirm anything for you, but I still feel that the main problem is that I will be rescued in the end, but I still feel that they helped me complete it and then I attached myself to it.",disgust/anger,no action
102,49,2,"I feel that, well, we need time today to finish today. Today, we seem to be talking more today about not having confidence in our own abilities. Actually, it seems to be It usually seems that when you want others to give you some affirmation, you will compare and you will know your own abilities and then go and see yourself, um, there are some areas where you are confident, but on the other hand, it seems that you can actually see it. It seems that you also need to have a standard where you can make sure that this matter can be done well without making mistakes, and then you can also let yourself know that this matter will not trouble others. That seems to be the case. In fact, your previous experience may not have caused a lot of trouble, but in your heart, you feel that this has affected others, and you feel that you have a responsibility to others. In fact, you would hope that You can do things well and then you can complete them well by yourself without disturbing the kindness of others. So let’s stop here for today.",no emotion,summary
103,50,1,So what do you want to talk about today?,no emotion,inquire
104,50,2,I don’t know if this problem is considered serious or if it needs to reach the level where it can be discussed. I personally feel that I have been suffering from procrastination recently. Have you heard of it?,no emotion,no action
105,50,3,"""Enyou"" has been a popular word in recent years.",no emotion,no action
106,50,4,"In fact, I am currently in a master's class and when I actually do research, it bothers me a bit. That is to say, the master's class has to make progress every week, but it is easy for me to postpone it until the last minute and just finish it. I don’t want to sleep to finish it and then do it. I actually",no emotion,no action
107,50,5,All night?,no emotion,inquire
108,51,1,"For staying up all night or staying up all night and then sleeping for two hours or something like that, I only slept for three hours this morning because I did it at six in the morning.",no emotion,no action
109,51,2,So since when did you have this kind of procrastination before?,no emotion,inquire
110,52,1,"I don’t know about the procrastination in the past. I think it may be because I didn’t enter a master’s class environment before, where every work progress was required. The procrastination in the past may have been when students were taking courses, and it was okay to procrastinate, because you have to control your own learning. Well, the worst thing is not to sleep and study there a few days before the exam.",no emotion,no action
111,52,2,You won’t feel like you’re procrastinating so often,no emotion,brief description of the semantics
112,53,1,"Yes, but because I have to pay my progress every week for my master's degree, it's easy for me to report the day before and find out that I haven't finished it yet. Then it becomes my own opinion that I don't want to, so when I report, I say that I really haven't finished it. Or it is very possible that I have to pay several times a week, and I just told you that I have to pay tomorrow. How could I not do anything and then have no reason to talk about it, so I can't sleep to talk about it and insist on finishing it?",no emotion,no action
113,53,2,"So ideally, how do you expect yourself to complete these reports?",no emotion,inquire
114,54,1,"Every time I do it there, I want to say that it is not impossible to finish this kind of weight. But if I start a day or two earlier, I feel that I don’t have to be so painful and can’t sleep like this, and then I have to finish it like this.",disgust,no action
115,54,2,"Well, I feel like you should have gone through this process many times.",no emotion,no action
116,55,1,It happens like this every time. I was thinking about it again this morning.,no emotion,no action
117,55,2,"Every time before handing in a report, you have to think about it again. What is it that prevents you from making it two or three days earlier?",no emotion,inquire
118,56,1,"I don’t know how to put it, it means that when I know that there is something to do, but there is a sense of resistance, a feeling of resistance, the feeling of not wanting to do something, and then it means that entertainment that I usually find boring becomes counterproductive in this situation. It becomes very interesting, very interesting, and then I run to do those entertainments, and then go again, and finally finish that thing when the deadline is approaching, and when the pressure is over, I will become the person I was when I was originally stressed. Entertainment that is very interesting becomes as if it is not that interesting at all.",no emotion,no action
119,56,2,"It’s just that those entertainments don’t actually attract you, as if you are doing that entertainment just to make you forget or",no emotion,no action
120,57,1,"It feels like a bit of an escape, but the more I do entertainment, the more I know that I have fewer deadlines.",fear,no action
121,57,2,"Well, then are you happy or anxious when you are participating in those entertainments? Because you said that while you are doing it, you will find that your time is getting more and more urgent.",no emotion,inquire/emotional reflection
122,58,1,"If I had focused on entertainment at the time, it might have brought me some happiness. But in my heart, I subconsciously knew that there was less and less time to do things.",no emotion,no action
123,58,2,So I want to know what your cycle is like throughout the week. You probably report on what day of the week.,no emotion,inquire
124,59,1,"I have been very busy recently. If I report once a day, I will probably assume that if I have to report on Tuesday, it must be six days. It is better to do things on the sixth day. The research I do is relatively easy to work from home, so I will say that I am here. I can control the time I have to do at home, so for me, the 6th day may be two big gaps. The whole day at home should be enough time. Usually, but on the 6th day, I clearly know that I have enough time left. I'll report it in a day or two, and then I won't do anything at all until maybe I start working on Sunday morning.",no emotion,no action
125,59,2,Then make it all the way to Monday,no emotion,no action
126,59,3,"Yes, maybe we have to look at some results or something first on Monday. The main point is probably to postpone it until the last minute, talk about things, and entertain until about twelve o'clock. I know that if we continue to entertain later, we may fall asleep and then start. Do things because when you do something, you will become more energetic and then you won’t want to sleep.",no emotion,no action
127,59,4,When do you ideally want to start doing it or start preparing?,no emotion,inquire
128,60,1,I hope that ideally I can finish it during normal working hours and then go home at night and have my own free time.,no emotion,no action
129,60,2,"So I don’t want to do it on Saturday, right? Maybe you said Tuesday’s report, maybe I might start the next one on Wednesday or Thursday.",no emotion,inquire/brief description of the semantics
130,60,3,right,no emotion,no action
131,60,4,"Well, how did you spend those hours?",no emotion,inquire
132,60,5,time,no emotion,no action
133,60,6,"That is, if you're looking forward to Wednesday or Thursday, what are you doing during that time?",no emotion,inquire
134,61,1,"During that time, usually if I come to school, I actually feel that my work efficiency is not very good. I don’t know why. I personally feel that I am really most focused on doing things. It feels more like work from home, which is the time when I do things at home.",no emotion,no action
135,61,2,Why do you think you did better during that period?,no emotion,inquire
136,62,1,It means that I can control my own time. It feels like I just do things in the laboratory at school. I don’t think I really want to do things in school.,no emotion,no action
137,62,2,How do you feel about the Well Research Laboratory?,no emotion,inquire
138,63,1,"Give it to me in the research room. Maybe it’s because you can’t relax in the research room whenever you want. That’s because when I’m working at home, the bed is right next to me. Although if I think about it, if I’m really serious about doing things, I won’t lie on the bed. But that’s it. How can I say that I feel like I can relax at home at any time?",no emotion,no action
139,63,2,"So if that environment is for you, you have to be very focused for seven or eight hours, except during meal time, but you can't say yes to me to do this.",no emotion,brief description of the semantics
140,64,1,"Oh, yes, but if it’s like twelve o’clock and I have to report at ten o’clock tomorrow morning, I can probably focus for seven or eight hours at this time.",no emotion,no action
141,64,2,I'm not sure whether it's environmental factors or that. You have to know that I really have very little time left so that you can be very focused.,no emotion,inquire/brief description of the semantics
142,65,1,"This is the case many times, but when I encounter this kind of situation, sometimes when doing things, I actually feel that it is a pity that I have to give up some things, and I have to give up some progress pressure, because the progress may be because there is so much time. Or if you assign it to the most important things, you will feel that what you do is just what you do, and it seems that it is not completed to perfection.",disgust/anger,no action
143,65,2,Maybe you don’t like the quality?,no emotion,inquire/emotional reflection
144,66,1,"When I can't do it perfectly, I know I have to give up some things because I don't have enough time. This is very similar to studying. When I was studying in college, I was just cramming. I could only give up some things that I couldn't study to perfection in the long run. Yes?",disgust/anger,no action
145,66,2,So actually it seems that you have been like this before.,no emotion,brief description of the semantics
146,66,3,right,no emotion,no action
147,66,4,"It’s just that in the past, because I didn’t write essays and didn’t follow the steps mentioned above, it didn’t have such a big impact on you.",no emotion,brief description of the semantics
148,67,1,"Yes, there is no work progress pressure, so I am a little afraid now that I am going to work after my second year of master's degree. Is it because of the pressure of having to do things well and making myself miserable?",fear,no action
149,67,2,But it sounds like the pressure to get things done kicks in your work mode?,no emotion,inquire/brief description of the semantics
150,67,3,Sometimes it feels like this,no emotion,no action
151,67,4,"When I just finished speaking this sentence, you seemed to have a reaction. What was that?",no emotion,inquire
152,68,1,"I just feel like I need to admit this, but I don’t want to become this kind of person myself.",fear,no action
153,68,2,Why do you think it's not good to be like this?,no emotion,inquire
154,68,3,"Because in fact, I always feel that I will really do all these things seriously under pressure. But every time I encounter this situation, I feel that I can't do it perfectly.",fear,no action
155,68,4,kindness,no emotion,no action
156,69,1,"But even if it involves a lot of trouble, when you really give me a lot of time, I have no choice but to allocate all the time to doing things and do them perfectly.",anger,no action
157,69,2,"Well, I think at that moment you knew you wanted to do something but why didn't you do it? Because it would be very stressful when you were exposed to that kind of work?",no emotion,inquire
158,69,3,"It seems okay when the pressure is high, but I feel like I'm escaping a little bit.",fear,no action
159,69,4,Then what are you running from?,no emotion,inquire
160,70,1,I'm actually not sure what I'm running from.,no emotion,no action
161,70,2,Because you are also doing this thing early. What makes you feel that it is not necessary or you don’t like it so much?,no emotion,inquire
162,70,1,"Sometimes I feel that I still have so much time that I don’t need to do it now. Sometimes I think so, but when it comes to the first few days, I will say that I may run out of time, but I still have some free time, and then I will put it off until the end. I just put off doing things until I can only finish them if I don’t sleep.",no emotion,no action
163,70,2,"Then I regretted that I overestimated the time before, so it seems that the feeling that you have time will put less pressure on you.",no emotion,emotional reflection
164,71,1,right,no emotion,no action
165,71,2,"If there wasn't that much pressure, you might not think about the questions. Or maybe it's because you're avoiding the pressure, I'm not sure.",no emotion,inquire/emotional reflection
166,71,3,"Let me think about it for a moment, but usually I don’t really do these things. It’s really annoying. And sometimes I’m the one who doesn’t do it. In fact, I don’t have anything to do. When I don’t go to work, I feel like I have nothing to do, but it’s just a waste. Time is wasted and then wasted until the end. Only when the deadline is approaching, do you start to do things like this.",no emotion,no action
167,71,4,Have you ever had the experience of actually finishing early a few times?,no emotion,inquire
168,72,1,"I think about it, I did it in advance, a day or two in advance. Oh, there were several experiences where actually he didn’t have a deadline for the work, and then I got the job and finished it in the evening.",no emotion,no action
169,72,2,"It's amazing. It's very efficient, right?",no emotion,no action
170,73,1,"I personally think that as soon as I start to do something, I will try my best to finish it. But when I get into that thing, I usually waste time and I am not in the state to do it, so I can't finish it.",no emotion,no action
171,73,2,Is what you usually call procrastination meaning that you haven’t turned on your ability to do things?,no emotion,inquire
172,74,1,It feels like this a little bit,no emotion,no action
173,74,2,Then the experience of your observation seems to not turn on until the last moment.,no emotion,no action
174,74,3,Because that is something that must be done. I don’t want others to think that I am irresponsible.,no emotion,no action
175,74,4,"So have you ever made any attempts to find a way to turn on this switch, whether it was successful or failed?",no emotion,inquire
176,75,1,Try it? I'll sit in front of the computer and start clicking on other web pages.,no emotion,no action
177,75,2,"Well, but that’s why I can’t have that good guy come to work",no emotion,inquire
178,75,3,"I don’t know, I always feel that I just sit in front of the computer and want to do something, but my attention will be distracted, so I feel a little resistant, so I click on it and start working, and then I go to click on the web to read something, and then time passes. so",surprise,no action
179,75,4,Then you used to be a person whose attention was easily attracted by other things.,no emotion,inquire
180,76,1,A person who is distracted by something else,no emotion,no action
181,76,2,Easily distracted,no emotion,no action
182,76,3,"I personally feel that it is easy for me to do this when I am in class, and then I usually end up being distracted and unable to keep up with the teacher's progress. Then I go home and read on my own.",no emotion,no action
183,76,4,Then you can go home and study by yourself.,no emotion,no action
184,77,1,What I mean by reciting it when you go home is to finish reciting it before the exam haha,no emotion,no action
185,77,2,"So when you were in class since you were a child, you would always pay attention and be distracted.",no emotion,inquire
186,77,3,"In fact, I have gone back and looked back at the days when I was actually in school. It seems that in many classes, I didn’t listen to the teacher at all. I only peeked at novels, did my own thing, or slept.",no emotion,no action
187,77,4,Is that because you said you went back and looked at your old stuff? Why do you think you were like this at that time?,no emotion,inquire
188,78,1,"I don’t know. Let me think about it. I went to class because there was actually cram school at that time. At that time, I may have thought that the teacher’s teachings were not that good. I would go to the cram school and listen to the cram school teacher. And the cram school was there because I spent money. Tell me to listen like this",no emotion,no action
189,78,2,Evening tutoring,no emotion,no action
190,78,3,Concentrate on your tutoring at night and basically sleep in the morning.,no emotion,no action
191,78,4,"Lately, it seems that the daytime classes in the morning have made you feel less important.",no emotion,inquire
192,79,1,right,no emotion,no action
193,79,2,Let's go back to the research you were doing for the report. Did you feel distracted? It doesn't matter if you don't have to be in such a hurry. It's like I don't need to spend time on work right away.,no emotion,inquire
194,79,3,I have a feeling in the morning. I wonder if it’s because I didn’t study in the morning classes before and only studied in the evening.,surprise,no action
195,79,4,Are you wondering if your routine has become accustomed to it?,no emotion,inquire
196,80,1,"Yes, it’s just a habit of being serious at night or staying up late to be serious.",no emotion,no action
197,80,2,"Yeah, but then, on weekdays, for example, do you have a way to work when you go home from 3, 4, 5, or have you arranged time for yourself?",no emotion,inquire
198,80,3,"Of course I want to do something when I go home on the 3rd, 4th and 5th, but usually I want to sleep after eating a full meal at night, and usually the drowsy time may not be released until about 11 or 12 o'clock. At this time, it depends on whether I choose entertainment or real life. doing things like this",no emotion,no action
199,80,4,you usually choose,no emotion,inquire
200,81,1,"Well, sometimes I am not so energetic and feel that I can enter the entertainment mode but cannot enter the work mode. I just choose entertainment because of my mental strength.",no emotion,no action
201,81,2,How much do you choose between entertainment and work?,no emotion,inquire
202,81,3,Four to one,no emotion,no action
203,81,4,Four to one is entertainment,no emotion,no action
204,82,1,almost,no emotion,no action
205,82,2,"Well, the next step is work",no emotion,no action
206,82,3,right,no emotion,no action
207,82,4,"Then you would expect that if we can help you make a little adjustment during the consultation process, we should not delay it for so long.",no emotion,inquire
208,83,1,"Talking like this, it seems like it’s all my own problem haha",no emotion,no action
209,83,2,"I think this is your experience, that is, you have been in this pattern for at least half a year.",no emotion,no action
210,83,3,"Yes, but it’s been particularly similar recently because that matter has been reported more frequently recently and has to be reported every day or two.",no emotion,no action
211,83,4,"But if you report once a day or two, doesn’t it mean that you actually spend all your time working?",no emotion,inquire
212,84,1,It will become what I do at night,no emotion,no action
213,84,2,You wish you could do things during the day,no emotion,inquire
214,84,3,"Think about it. Of course, ideally, I would finish the work early and then I would have a good rest at night.",no emotion,no action
215,84,4,That actually,no emotion,no action
216,85,1,"In fact, this is usually done in the first twelve hours",no emotion,no action
217,85,2,"Well, we seemed to have mentioned just now that you might be used to working seriously at night.",no emotion,inquire
218,85,3,kindness,no emotion,no action
219,85,4,Do you really think you would like to adjust this life model?,no emotion,inquire
220,86,1,"I think about it, because sometimes it’s my mental state. I don’t know, it seems to have nothing to do with psychology. I feel like I don’t have enough sleep. After I don’t get enough sleep, I feel bad in the morning. Then I feel bad, and then I don’t want to get into the mode of doing things. so",no emotion,no action
221,86,2,Then you should try to adjust your sleep status yourself,no emotion,inquire
222,87,1,"I don’t know. I think I think about it. I have adjusted it. I go to bed early. Sometimes when I am tired, I go to bed early and sleep for a long time. But I think this seems to be related to the body. I don’t know if it is because I snore and then sleep. It's not good and I'm still not very energetic in the morning, so it seems like this has nothing to do with psychological problems.",no emotion,no action
223,87,2,Maybe it was just that my sleep quality was not good at that time.,no emotion,brief description of the semantics
224,87,3,right,no emotion,no action
225,87,4,"So you seem to be talking about whether it is just poor sleep quality that makes you lack energy during the day. If you are not energetic during the day, you can't work. Then if you don't work during the day, you have to complete Tongxiao at night when you are energetic.",no emotion,brief description of the semantics
226,88,1,"That's right, but I feel like I don't know. I think it's like I'm just moaning for no reason hahaha",no emotion,no action
227,88,2,What do you mean? Do you think you should be able to think clearly and then change your life?,no emotion,inquire
228,88,3,"Think about it, of course, I want to change, of course I want to change, but now I am stuck in self-doubt, which means that I am actually complaining about myself. In fact, I don’t have so many problems. They are all my own choices.",disgust,no action
229,88,4,Do you think I think the same way?,no emotion,inquire
230,89,1,I am afraid that others will think this way,fear,no action
231,89,2,So now you think I might think so,no emotion,emotional reflection
232,89,3,kindness,no emotion,no action
233,89,4,"Actually, what I'm thinking about is that I also procrastinate sometimes, and sometimes I need to spend a lot of time thinking about why I do this, because it's like you just finished speaking and you feel that all the conclusions will be pushed forward. Wouldn't it be nice if you just finished things earlier?",no emotion,no action
234,90,1,right,no emotion,no action
235,90,2,"Well, it seems that at that moment, I don’t know what I was stuck on, but I just couldn’t do it.",no emotion,emotional reflection
236,90,3,That's right. I will choose not to do this.,no emotion,no action
237,90,4,"But I seemed to find out the reason later. Maybe it was that I always felt that I had to do it perfectly as soon as I did something, and then I was worried that I wouldn’t do it perfectly, so I never wanted to touch that thing. What do you think?",no emotion,inquire
238,91,1,"I am a bit like this myself, that is to say, I feel that I usually feel that if my mental state is not that good, I choose not to do things. I feel that when I do things, if my mental state is not good, I will not be able to do it, and then I will not be able to do it. So in that situation I won't choose to do it",no emotion,no action
239,91,2,"You want to wait until you can prepare the most perfect, and then the whole process can be smooth, or you can say that the results of your work can be better.",no emotion,no action
240,92,1,"When I am mentally at my best, I try my best to do this thing perfectly. But usually, I usually feel that if I really start to do something seriously, my mental state should be good. I feel that I devote my whole body to that time of doing things.",no emotion,no action
241,92,2,"Just thinking back on it, it seemed that the situation would get better when I started doing it. But before I started doing it, I felt that something was not right here.",no emotion,brief description of the semantics
242,93,1,right,no emotion,no action
243,93,2,It's still not enough. I have to wait for a better time to finish it.,no emotion,no action
244,93,3,"Right, and then we put it off until the end and the time is gone.",no emotion,no action
245,93,4,That perfect timing doesn't exist,no emotion,no action
246,94,1,Just force yourself to finish it even if it's not perfect.,no emotion,no action
247,94,2,"Well, but that's not what you like",no emotion,emotional reflection
248,94,3,right,no emotion,no action
249,94,4,"So today we started from what you said when you talked about procrastination. The first one mentioned that you were not sure whether it was your past practice habit, and then the next one seemed to be that you have to work in a stressful working mode to a certain extent before you can start working. Then it seems that we finally talked about what is it that makes you unable to complete this matter at the time when it should be completed. Is there another possibility that you are worried about whether you will achieve results if you do it now or because of my current state? It doesn’t seem to be the best. If you want to wait for the opportunity to be in the best state, you often can’t wait.",no emotion,inquire/summary
250,95,1,right,no emotion,no action
251,95,2,"Then what you wait for in the end will be the worst time, and the time is not enough. Then your mental state may be, I don’t know, when you are more stressed or bad, in the middle of the night or early in the morning.",no emotion,no action
252,95,3,"In terms of mental state, the disease will be strong, but after finishing things, it will be let go, and then it will be tired and lack of sleep.",no emotion,no action
253,95,4,"So what we are talking about today may probably cause you to procrastinate, and you also mentioned that you actually felt a little uneasy when you were talking about this. I don’t know if I thought you were moaning unnecessarily when you told me about it. I said, actually I have had this kind of experience. Do you think that would be better?",no emotion,inquire/summary
254,96,1,"It would be better, but I also feel that I am a bit criticizing myself now. I want to say these things, these boring and pointless moans are the specialty of counselors and teachers, and then they are a waste of other people's time. This is even a waste of other people's time.",fear,no action
255,96,2,I think we can discuss this part next time. I'd love to know what might be it about you starting to criticize yourself all the time that makes you feel like this is a waste of my time.,no emotion,inquire
256,97,1,"So what we discussed last week may be like procrastinating this matter. Later on, I am discussing the problem with you. How do you feel? You said that you later had some very critical voices about yourself. Do you want to continue talking about this?",no emotion,inquire
257,97,2,"Okay, I think this is actually quite common for me to criticize myself whenever something happens.",no emotion,no action
258,97,3,So you start to criticize yourself about what,no emotion,inquire
259,98,1,"That is, I don’t want others to have bad opinions about me, whether they are wrong or wrong, so I hope that I will not cause trouble to others, so in some things I will feel that if I say something or do something wrong, In fact, if I am wrong, it will cause trouble to others, and then others will have a bad evaluation of me.",no emotion,no action
260,98,2,So now you are also worried that I will have a bad evaluation or opinion of you.,no emotion,emotional reflection
261,99,1,"Yes, the last time I talked about arranging consultation, it was clear that the school arranged this consultation for me. But I felt that when I finally talked about my own problem, I found that I was complaining for no reason, wasting resources and wasting everyone's time.",no emotion,no action
262,99,2,"In fact, I think this unnecessary moaning means that this does not bother you, but it does bother you to say that the delay in this matter is very disturbing. You know, and in fact, it has been happening since college, but it did not interfere with your studies to a great extent at that time. But now in graduate school, this Interference becomes more and more obvious",no emotion,summary
263,99,3,right,no emotion,no action
264,99,4,Then why do you still think it must be someone or even think that I would say this?,no emotion,inquire
265,100,1,"Because in the end, this result is not actually my own conclusion, that is to say, I found that this matter is not unsolvable, but the ultimate problem is that when I need it, I have to change my life style. In fact, I feel that there is a solution and then put it Put it up as a question and ask others like this",disgust,no action
266,100,2,"But before discussing, you really may have a specific solution or direction.",no emotion,inquire
267,101,1,"I don’t think about it in particular, I just feel that every time I encounter this kind of thing, it is very painful. But after it is over, I feel so good, and then I encounter the same situation again next time.",disgust,no action
268,101,2,"Well, I'm thinking about the last time you spent some time explaining the situation and spending a little time discussing it, and I'm not sure if you thought about it more clearly.",no emotion,inquire
269,101,3,"Yes, actually, let me briefly review my previous life.",no emotion,no action
270,101,4,Doesn't this make sense?,no emotion,no action
271,102,1,It seems to make sense in this way.,no emotion,no action
272,102,2,"Well, you still have some worries. It seems that these are things you can think of by yourself, but you come to ask a psychologist.",no emotion,emotional reflection
273,102,3,"Yes, I feel like I can actually think of these things myself and it’s not difficult to solve them, but it’s a bit of a waste of other people’s time.",no emotion,no action
274,102,4,"So what should I do to not be a waste? I think you told me, what should I do to not be a waste?",no emotion,inquire
275,103,1,"Because I have no experience in consulting before, in my imagination, those who come to communicate and chat should talk about things that they are usually confused or confused about or things that cannot be solved. In this way, they can use their own knowledge to solve the problem. There are ways to deal with some things before you come here to ask for help, etc.",no emotion,no action
276,103,2,Aren't you procrastinating this matter something that has been bothering you for half a year and hasn't been dealt with yet?,no emotion,no action
277,103,3,I have never solved it for myself,no emotion,no action
278,103,4,"Yes, why do I only worry so much as if I think I will criticize you but not evaluate you?",no emotion,inquire/emotional reflection
279,104,1,"Maybe I myself think that if someone talks like this to me, I feel like I’m just complaining for no reason, so I feel like I’m criticizing myself.",disgust/anger,no action
280,104,2,"So you yourself will be like this, you will be like this to yourself",no emotion,no action
281,104,3,I think a little bit critically about my own thoughts,disgust/anger,no action
282,104,4,"Apart from these, I'm thinking about you saying that you are often like this. What other voices do you usually have to criticize yourself?",no emotion,inquire
283,105,1,I criticize my own voice. Let me think about it. I usually feel this way about many things. I really want to elaborate on one thing. I don’t have anything that I can’t think of right now.,no emotion,no action
284,105,2,"Let me give you an example. You said last time about your paper. Every time you want to write it perfectly and write it well, but you always have time until the end, so you feel that it is not perfect. Then when you find this What kind of criticism do you usually have about yourself when your results and you should be able to do better?",no emotion,inquire
285,106,1,"The voice that criticizes myself is like asking why I didn’t take the time before, etc. It just reminds me that I’m like this every time and it sucks.",disgust/anger,no action
286,106,2,You seem to describe yourself as a person who doesn't work hard.,no emotion,brief description of the semantics
287,106,3,"I have this tendency. When I usually chat with others, it’s easy to describe myself as someone who is not a bad person and not a person who is pretty bad and can get by.",no emotion,no action
288,106,4,Why do you think you care so much? It seems like I'm thinking of something.,no emotion,inquire
289,107,1,Think about it,no emotion,no action
290,107,2,What was the thought that just ran through your mind?,no emotion,inquire
291,107,3,"The thought that flashed through my mind was whether I would usually say this, but I actually care about it, but I insist on saying that I don’t care, but I’m not sure if it’s me.",surprise,no action
292,107,4,What do you think you might care about?,no emotion,brief description of the semantics
293,108,1,"Maybe you really care about this matter, but you still let it pass, and then your evaluation of yourself seems to be lower.",sad,no action
294,108,2,Are you saying that you actually care about those things that you should work hard on?,no emotion,brief description of the semantics
295,108,3,right,no emotion,no action
296,108,4,"You do care, otherwise you would come here to talk about writing thesis work. There was a time when I felt that I was probably the person who didn't care.",no emotion,brief description of the semantics
297,109,1,"Don't you care? I think I will keep it in my heart. Maybe it will be over when it is over. That is to say, it is over when it is over. Maybe at the moment, I won't be particularly upset emotionally, because it is over anyway. After it’s over, I’ll go to sleep, so every day is a new day, but I will record this matter and put it in my heart like this",no emotion,no action
298,109,2,Then it happens again next time,no emotion,no action
299,110,1,"The next time I post something like this, I will think of the last time I did it.",no emotion,no action
300,110,2,Will the emotions be superimposed?,no emotion,inquire
301,110,3,"Have you ever encountered a superposition situation, and you just feel like you didn’t do it well every time?",no emotion,no action
302,110,4,So how do you usually describe yourself in your heart at this time?,no emotion,inquire
303,110,5,Just thinking about it makes me very angry. Maybe you can’t do it?,anger,no action
304,110,6,what is qi,no emotion,inquire
305,111,1,"I feel angry when I talk about why I haven’t done these things well, and I feel so miserable and angry when I can’t finish things. But usually I feel like I’m just muddling through. Usually after things are over, I’m still very angry at the moment, but after a period of time, I feel okay. But in the memory, this thing will be very impressive, very impressive, very impressive.",anger,no action
306,111,2,"If you are deeply impressed in your mind, you will say procrastination.",no emotion,no action
307,111,3,It’s when you feel like you’re not doing well,anger,no action
308,111,4,You will often feel that you are not doing well or might not be able to do well,no emotion,inquire
309,112,1,"Let me think about this question. I will not be able to do it well. At the moment, I try my best to do it well. Of course, it is hard to say whether I will do it well after I finish it.",anger,no action
310,112,2,It’s hard to say for sure,no emotion,inquire
311,112,3,Shi Hao sometimes feels that he has done a good job. Sometimes I feel that I am experiencing procrastination and cannot do things well because the time is so short.,no emotion,no action
312,112,4,It seems that it is actually very easy for you to say that what you do is not very good.,no emotion,emotional reflection
313,113,1,"Now I kind of feel like I'm moaning for no reason, because actually I have a feeling that I don't know if I care about whether things are done well or not.",no emotion,no action
314,113,2,Do you think you stop and think,no emotion,no action
315,113,3,"Yes, it was true that at the moment I thought it was not done and I was lazy and annoyed. But after the incident happened, I just took it as an afterthought. In fact, I didn’t care about it.",no emotion,no action
316,113,4,I think it means that I care or don't care.,no emotion,inquire
317,114,1,"I don't know if it's just the unnecessary moaning I just said. I mean I assume that I think it is not a very important thing now. Then if I talk about it, am I not complaining again?",no emotion,no action
318,114,2,Or maybe I have to talk about it so I can figure out whether this matter bothers me or whether it's something else. Can you understand what I'm saying?,no emotion,no action
319,114,3,My mind is a little confused now,surprise,no action
320,114,4,What's wrong with you now?,no emotion,inquire
321,115,1,Because a lot of the abstract things I just talked about I have a bit of,no emotion,no action
322,115,2,You think it's too abstract,no emotion,no action
323,115,3,Do you care about one thing or not?,no emotion,no action
324,115,4,You feel you want to discuss something more specific,no emotion,no action
325,116,1,"I feel that I am very opinionated and repetitive, that is, I will remember and then say that I don’t seem to care about things. I seem to be a little bit unable to change my mind about what I am talking about.",surprise,no action
326,116,2,"Or do you usually talk about your life or what you want to do, and sometimes you seem to be not sure what you want to do now?",no emotion,no action
327,116,3,"Usually when this happens, I don't think about it lying there.",no emotion,no action
328,116,4,"When you say that you usually encounter this situation, you mean that you don't know whether you want to complete the job or not.",no emotion,inquire
329,117,1,"Whether you want to complete it or not is a matter of necessity. Usually, it must be completed.",no emotion,no action
330,117,2,Tell me if you want to finish it today,no emotion,no action
331,117,3,right,no emotion,no action
332,117,4,"Well, you will hesitate",no emotion,emotional reflection
333,117,5,"For example, if it is Wednesday, suppose today is Monday and then Wednesday is due. Do you want to complete it today? It will become tomorrow and there will be one more day.",no emotion,no action
334,117,6,"Well, when you procrastinate, do you spend a lot of time thinking about whether I should do it today or do it now or tomorrow?",no emotion,brief description of the semantics
335,118,1,Do you think so?,surprise,no action
336,118,2,kindness,no emotion,no action
337,118,3,"Usually, I usually don't spend a lot of time thinking about it, because usually I want to say like today is Monday night at six o'clock, there are still five hours, five or six hours, and then, then, let me take a rest first, eat a meal, and then There are still four hours left at eight o'clock. I can still do things later. At ten o'clock, there are two hours left. I should come and do things. Then there is one hour left at eleven o'clock. How about I tell you tomorrow?",anger,no action
